user_name,user_id,nickname,video_id,video_desc,video_time,video_length,video_link,n_likes,n_shares,n_comments,n_plays
mikaylanogueira,6802654298129630213,Mikayla Nogueira,6889480771933932806,Also - text MIKAYLA to 797979 to shop all of my favorite products 😌 I’m sharing some of my holy grails! #makeup #MagicLinks #MagicLinksPartner,1604082289,59,https://www.tiktok.com/@mikaylanogueira/video/6889480771933932806?lang=en,437900,8155,4507,2400000
mikaylanogueira,6802654298129630213,Mikayla Nogueira,6891707044835986693,If you want to check out more of my favorite products text MIKAYLA to 797979 #MagicLinksPartner #MagicLinks #makeup #beauty,1604600638,59,https://www.tiktok.com/@mikaylanogueira/video/6891707044835986693?lang=en,313700,13000,3374,2100000
mikaylanogueira,6802654298129630213,Mikayla Nogueira,6892137099902848261,Hey- curious to know my fav products ever? Text MIKAYLA to 797979 where I’m giving all the deets! #makeup #MagicLinksPartner #MagicLinks,1604700752,41,https://www.tiktok.com/@mikaylanogueira/video/6892137099902848261?lang=en,169000,864,1935,911200
mikaylanogueira,6802654298129630213,Mikayla Nogueira,6886861824503926022,Want to see all of my exclusive favorites that I think you need to try? Text MIKAYLA to 797979. #MagicLinks #MagicLinksPartner,1603472529,58,https://www.tiktok.com/@mikaylanogueira/video/6886861824503926022?lang=en,85800,630,1227,774800
inmyseams,3375028,Janette Ok,6850208360516701446,"#sponsored Which was your favorite look? 60% OFF use ""JANETTE60"" @nastygal #disneyprincess #disney #nastygalsdoitbetter #ad #magiclinks #ootd",1594938425,15,https://www.tiktok.com/@inmyseams/video/6850208360516701446?lang=en,75400,224,307,601700
mikaylanogueira,6802654298129630213,Mikayla Nogueira,6888013171953519878,"Also, text MIKAYLA to 797979 if you wanna know some of my must have products 😉 #MagicLinksPartner #MagicLinks #makeup #beauty",1603740577,50,https://www.tiktok.com/@mikaylanogueira/video/6888013171953519878?lang=en,63300,837,546,772000
naomiboyer,6755939935561778181,Naomi Boyer,6849066562649935109,Text NAOMI2 to 797979 for links AD @missguided #babesofmissguided #MagicLinks #fashion #style #tiktokfashion #summerdresses,1594672578,14,https://www.tiktok.com/@naomiboyer/video/6849066562649935109?lang=en,32200,550,138,745300
denisemmercedes,6747702167774643206,Denise Mercedes,6946715563615964421,@express just launched their curvy line and I’m excited ! Which one is your fav? All items linked on my bio ❤️#expresspartner #magiclinks,1617408260,29,https://www.tiktok.com/@denisemmercedes/video/6946715563615964421?lang=en,29900,434,153,552000
nazjaa,6750511818433266694,nazjaa,6908741079265250565,@adidas winter fits 🪐🤍 #gifted #adidas #magiclinks #haul #winterfits #winterfashion #fallfits #fashion #style #HelloWinter #DontDropTheOhYeah,1608566651,15,https://www.tiktok.com/@nazjaa/video/6908741079265250565?lang=en,19500,151,167,108400
summerrachelwarren,6795767580415820805,summerrachelwarren,6938912297255521541,which one are you?? shop with me live tn at 8pm mst @forever21 @magiclinks @afterpayusa #foreverbabe #f21xme #magiclinks #ad,1615591420,15,https://www.tiktok.com/@summerrachelwarren/video/6938912297255521541?lang=en,13200,132,122,126500
saraxjoy,6624113395250446342,sara joy 🤩,6802687258328714501,I’ve partnered with @davidsbridal  for this video! use my code SARA15 for 15$ off your order & free shipping! #MagicLinks #DBProm #davidsbridal,1583874057,15,https://www.tiktok.com/@saraxjoy/video/6802687258328714501?lang=en,11100,129,42,88900
mariacastellanos_ri,6764035555557016581,mariacastellanos_ri,6843844318151691526,#ad find all of my favorite summer outfits from @nastygal LINK IN BIO!!#nastygalsdoitbetter #magiclinks,1593456680,31,https://www.tiktok.com/@mariacastellanos_ri/video/6843844318151691526?lang=en,7628,15,35,51100
adriennefinch,76346047303675904,professional weirdo,6943316282267667718,I partnered with @magiclinks to show you guys 3 ways to make money online!! LINK IN BIO TO APPLY! 🤩 #foryou #ad #magiclinks,1616616802,42,https://www.tiktok.com/@adriennefinch/video/6943316282267667718?lang=en,3959,27,26,25200
heybriajones,6609395315488342021,Bria Jones,6844924708748643590,@nastygal try on haul narrated by bae 🥰 *OUTFIT LINKS in bio* ❤️ #ad #nastygalsdoitbetter #magiclinks,1593708228,28,https://www.tiktok.com/@heybriajones/video/6844924708748643590?lang=en,3910,20,25,41000
yourgirlkarly,6689079843025323013,Your Girl Karly,6849012928629329158,@nastygal keeping my #WFH outfits CUTE! 💕 use code KARLY60 for 60% off! #nastygalsdoitbetter #magiclinks #ad #tiktokfashion #plussizefashion #fyp,1594660096,15,https://www.tiktok.com/@yourgirlkarly/video/6849012928629329158?lang=en,3492,6,21,34600
lynetteadkins,6806520288902579205,Lynette Adkins,6956239736122002693,Fit from @adidas #adidas #magiclinks,1619625778,28,https://www.tiktok.com/@lynetteadkins/video/6956239736122002693?lang=en,1970,9,24,14400
amandamariepena,6707615598430798854,Amanda Peña,6969999064666557701,Viral Chicken Soup Dumplings? 🥟 Let’s see what all the hype is about. 😏🔥 Code: AMANDAP10 🍳#OurPlace @OurPlace #MagicLinks @MagicLinks #fyp #food,1622829371,46,https://www.tiktok.com/@amandamariepena/video/6969999064666557701?lang=en,1544,2,8,9443
